,use_category,use_subcategory,skintype,brand,product,size,price,details,ingredients,ratings,perc_respondrec,total_reviews,link,page
0,cleanser,toner,normal,,Rapid Clear 2-in-1 Fight & Fade Toner,Size 8.0 oz|,"Price
$9.99","Neutrogena Rapid Clear 2-in-1 Fight & Fade Toner is the first acne toner designed to reduce breakouts in just hours and help fade the look of post-acne marks for clearer, more even-toned skin. This toner removes oil as Micro-Clear Technology speeds maximum strength salicylic acid acne medicine straight to the source of breakouts. It is formulated with glycolic acid and is designed to speed surface skin cell exfoliation. The refreshingly clean formula is clinically proven to reduce pimple size, swelling, and redness in under eight hours and accelerates surface cell exfoliation to help fade the look of post-acne marks.

Benefits:
Reduces breakouts and helps fade the look of post-acne marks
For acne-prone skin
With maximum strength salicylic acid acne treatment and Micro-Clear Technology
Formulated with ingredients to help with skin cell exfoliation
Clinically proven to reduce pimple size, swelling, and redness in under 8 hours
Helps fade the look of post-acne marks
Clears breakouts",,,,,https://www.ulta.com/rapid-clear-2-in-1-fight-fade-toner?productId=xlsImpprod1940047,1
1,cleanser,toner,normal,,Rose Trial Kit,Item 2541512,"Price
$22.00","A rose lover's dream come true! Mamonde's rose-infused trio is bursting with the intoxicating aroma of fresh-picked Damask Roses. Pamper skin with refreshing rose water for intense hydration and lasting moisture.

Petal Spa Oil To Foam (1.69 oz)
An oil to foam formula for quick and easy cleansing. Gently dissolves makeup with oil then forms a creamy foam with the addition of water to remove any remaining residue.

Rose Water Toner (1.69 oz)
Made with Damask Rose, this refreshing hydrator deeply infuses skin with soothing moisture.

Rose Gel Cream (0.84 oz)
A refreshing, watery gel cream infused with 68.7% Damask Rose Water. The roses are picked at their peak in the morning dew for the most soothing, hydrating benefit. Leaves complexion soft, fresh and dewy.",,,,,https://www.ulta.com/rose-trial-kit?productId=pimprod2003991,1
2,cleanser,toner,normal,,Hydra Fresh Toner,Size 8.5 oz|,"Price
$6.49","Let the beta-hydroxy of this gentle Hydra Fresh Toner sweep away dull, tired skin. It softens and refreshes your skin for a smoother and brighter complexion. Formula is dermatologist tested and 99% alcohol-free.",,,,,https://www.ulta.com/hydra-fresh-toner?productId=prod5041250,1
3,cleanser,toner,normal,,Keep Your Balance Toner,Size 5.07 oz|,"Price
$8.00","Say goodbye to dull skin! The e.l.f. Cosmetics Keep Your Balance Toner removes impurities and refreshes the skin with hyaluronic acid, witch hazel, and aloe. The result is soft, fresh and balanced skin.

Key Ingredients & Benefits:
Hyaluronic Acid - keeps skin hydrated and plump to help reduce the appearance of fine lines
Aloe - helps soothe skin
Witch Hazel - has anti-inflammatory properties to cleanse and tone
All e.l.f. skincare products are free from parabens, sulfates, and phthalates
All e.l.f. products are vegan and cruelty-free",,,,,https://www.ulta.com/keep-your-balance-toner?productId=pimprod2006502,1
4,cleanser,toner,normal,,Truffle Therapy Power Duo,Size 13.6 oz|,"Price
$45.00
Market Value
($54 value)","Truffle Therapy Power Duo is not your traditional face toner! SKIN&CO has created this toner to cleanse and purify the skin deeply. Formulated with natural extracts of Truffle, Calendula, Rose and Rosemary, they have created a blend to purify pores, while contributing the antiseptic powers of Witch Hazel and Sage to remove dead skin and bacteria to prevent future breakouts, and boosting the skin with extra antioxidants. A toner is an essential part of your beauty routine for healthy, youthful looking skin.",,,,,https://www.ulta.com/truffle-therapy-power-duo?productId=xlsImpprod18051127,1
5,cleanser,toner,normal,,Balancing Toner,Size 6.67 oz|,"Price
$34.00","Grown Alchemist Balancing Toner is a refreshing, invigorating toner for an instant lift and radiant glow that leaves facial skin soft and clean, balancing the skin, refining facial pores and evening out skin tone.

Gluten-free
Vegan
No lauryl sulphate
No Petrochemicals
No artificial fragrances
No synthetic colors",,,,,https://www.ulta.com/balancing-toner?productId=pimprod2007658,1
6,cleanser,toner,normal,,Peach Sake Toner,Size 4.6 oz|,"Price
$15.00","SKINFOOD's Peach Sake Toner is a refreshing toner made with rice sake and peach extracts, rich in vitamins A and C, which minimize shine and the appearance of pores.

Peaches contain significant vitamins and minerals which promote healthy skin. Peaches are rich in vitamin A and vitamin C, which are antioxidants that help reduce free radical damage and possess anti-aging benefits. Naturally occurring acid in the skin helps prevent acne and repair acne scars. The organic acid found in peaches can boost skin acid's rejuvenating effects. Finally, pectin, a type of fiber, is found in the skin of peaches and helps to tone and firm skin.

Sake, a wine made from rice, clears skin by facilitating blood circulation, while the alcohol also tightens pores and controls sebum production. Geishas, traditional artisans and performers in Japan, would add sake to bath water for softer, brighter skin. Following their fashion, sake spas offer luxurious sake baths and treatments. The fermentation process produces kojic acid, which has brightening effects on skin. The yeast used in the process also contains peptides, which are chains of amino acids that play a role in effective collagen production. ",,,,,https://www.ulta.com/peach-sake-toner?productId=xlsImpprod14431231,1
7,cleanser,toner,normal,,Acne Solutions Clarifying Lotion,Size 6.7 oz|,"Price
$17.50","Clinique's Acne Solutions Clarifying Lotion is a medicated formula that exfoliates, reduces excess oil that can lead to breakouts, unclogs pores, and controls excess shine. Formulated for acne-prone skins.

What It Is:
Gentle, medicated liquid exfoliator reduces excess oil and shine, mattifies skin, and unclogs pores.

What It Does:
Liquid exfoliator powered by salicylic acid helps keep skin clearer and controls shine.
Exfoliating ingredients sweep away dead surface cells and reduce excess oil that can lead to breakouts.
Oil-absorbing powders help eliminate shine.
Leaves skin feeling clean and fresh.

Key Ingredients:
Salicylic acid and acetyl glucosamine: Help clear dead skin cells that can contribute to clogged pores.
Silica: Absorbs excess oil to give skin a matte look.

Try Clinique's Clear Skin System. A consistent, non-irritating routine helps get breakouts under control. Clinique's Acne Solutions Clear Skin System helps get skin clear, and keep it that way.

Cleanse: Acne Solutions Cleansing Foam or Cleansing Gel
Exfoliate: Acne Solutions Clarifying Lotion
Treat: Acne Solutions Clinical Clearing Gel

Use with Dramatically Different Moisturizing Gel for lightweight, oil-free hydration.

Clinique Clean Philosophy:
No parabens
No phthalates
No fragrance
Just happy skin

What else is this product free of? Oil, synthetic colors, SLS, SLES, gluten.

Explore Clinique's Acne Solutions - Click here!",,,,,https://www.ulta.com/acne-solutions-clarifying-lotion?productId=xlsImpprod10791817,1
8,cleanser,toner,normal,,Supple Preparation Facial Toner,Size 6.08 oz|,"Price
$22.00","Klairs Supple Preparation Facial Toner balances and maintains skin pH to optimize the efficacy and absorption of other products in your skincare routine. The cushiony formula is packed with nourishing ingredients like beta glucan and hyaluronic acid to deliver and lock in deep hydration for all skin types, especially dry and sensitive skin.

Key Ingredients
Beta Glucan: A sugar-derived ingredient that soothes irritation and redness
Hyaluronic Acid: Boosts skin¿s moisture content by holding up to 1,000 times its weight in water
Centella Asiatica Extract: A plant extract with powerful soothing properties that calms irritation and breakouts
Licorice root: A plant extract with antioxidant properties that improves the look of uneven skin tone

Key Benefits
Non-irritating daily toner
Deeply moisturizing and nourishing
Balances pH level of skin
Boosts efficacy of other skincare products

Key Call-outs
Vegan-Friendly
pH: 6.0
Cruelty-free, Ethanol-free, silicone-free, artificial dye-free, artificial fragrance-free
Received 15 awards in 5 countries | 1 million+ bottles sold | Global Best-seller",,,,,https://www.ulta.com/supple-preparation-facial-toner?productId=pimprod2005169,1
9,cleanser,toner,normal,,Hydraprep pH Balance Toner,Size 6.7 oz|,"Price
$29.00","HydraPrep pH Balance Toner from Exuviance is formulated to hydrate and target the skin's natural pH balance. Contains the Alpha Hydroxy Acid (AHA) Glycolic Acid, with PHA and conditioning botanicals to prepare skin for your optimized Exuviance intention skincare steps. Dermatologist and Allergy tested.

Same product, new look! Exuviance Hydraprep pH Balance Toner.",,,,,https://www.ulta.com/hydraprep-ph-balance-toner?productId=xlsImpprod14921089,1
